Estacion,latitud,longitud,Fecha,Periodo,SO2,H2S,NO,NO2,NOX,O3,PM10,PM25,BEN,TOL,MXIL,Dir_Aire,Vel,Tmp,HR,PRB,RS,LL
12,43.520957,-5.690707,11/7/2021,24,1,18.29999924,5,36,43,5,95,30,1.600000024,2.299999952,3.200000048,260,1.49000001,11.80000019,93,1025,36,0
12,43.520957,-5.690707,11/7/2021,23,1,6.199999809,2,22,24,10,80,23,0.699999988,1.799999952,2.700000048,201,0.980000019,11.60000038,93,1025,36,0
12,43.520957,-5.690707,11/7/2021,22,1,4.300000191,1,19,20,14,38,15,0.600000024,1.100000024,3.099999905,296,0.980000019,11.19999981,92,1025,37,0
12,43.520957,-5.690707,11/7/2021,21,1,2.700000048,4,21,26,11,36,12,0.899999976,1.299999952,2.200000048,185,0.99000001,11.89999962,88,1026,37,0
12,43.520957,-5.690707,11/7/2021,20,1,2.099999905,2,18,20,16,30,12,0.200000003,0.600000024,0.800000012,297,0.99000001,12.39999962,85,1026,37,0
12,43.520957,-5.690707,11/7/2021,19,1,1.299999952,1,10,10,24,21,17,0.300000012,0.600000024,1,295,0.99000001,12.39999962,83,1026,37,0
12,43.520957,-5.690707,11/7/2021,18,1,1.299999952,1,8,7,36,15,12,0.5,1,1.200000048,309,1,13.39999962,76,1026,37,0
12,43.520957,-5.690707,11/7/2021,17,1,1.399999976,1,8,9,55,24,10,0.200000003,0.300000012,0.200000003,23,1,14.10000038,71,1026,47,0
12,43.520957,-5.690707,11/7/2021,16,1,1.5,1,10,10,53,14,6,0.200000003,0.200000003,0.699999988,241,2.349999905,15.10000038,67,1026,116,0
12,43.520957,-5.690707,11/7/2021,15,1,1.700000048,2,13,16,52,15,10,0.5,0.5,0.800000012,24,1.230000019,16.29999924,61,1026,194,0
12,43.520957,-5.690707,11/7/2021,14,2,5.699999809,6,22,31,40,25,12,1.100000024,0.899999976,1.200000048,75,1.019999981,16.29999924,61,1027,254,0
12,43.520957,-5.690707,11/7/2021,13,1,3.900000095,9,23,37,20,43,12,0.5,0.800000012,1.299999952,255,2.049999952,13.10000038,77,1028,215,0
12,43.520957,-5.690707,11/7/2021,12,1,4.699999809,11,23,40,15,58,11,1,0.800000012,1.200000048,256,3.069999933,11.19999981,81,1028,190,0
12,43.520957,-5.690707,11/7/2021,11,2,4.300000191,16,23,47,10,120,24,0.5,0.400000006,0.600000024,247,2.730000019,9.300000191,88,1029,152,0
12,43.520957,-5.690707,11/7/2021,10,1,2.900000095,9,20,33,9,102,18,0.200000003,0.400000006,0.600000024,256,3.200000048,7.699999809,93,1029,74,0
12,43.520957,-5.690707,11/7/2021,9,1,2.5,4,18,25,8,72,14,0.300000012,0.400000006,0.600000024,261,3.599999905,6.900000095,94,1029,41,0
12,43.520957,-5.690707,11/7/2021,8,1,2.5,4,19,25,8,98,21,0.200000003,0.400000006,0.699999988,261,4.579999924,6.900000095,94,1028,34,0
12,43.520957,-5.690707,11/7/2021,7,1,2.299999952,7,22,32,7,106,23,1.100000024,0.699999988,1,260,3.660000086,6.900000095,96,1028,33,0
12,43.520957,-5.690707,11/7/2021,6,2,3.799999952,10,24,39,5,140,31,0.600000024,0.699999988,0.899999976,248,2.24000001,6.800000191,99,1028,33,0
12,43.520957,-5.690707,11/7/2021,5,1,2.400000095,5,22,29,6,123,23,0.5,0.600000024,0.899999976,253,1.519999981,6.699999809,99,1028,33,0
12,43.520957,-5.690707,11/7/2021,4,1,2.5,7,24,34,5,146,31,0.300000012,0.699999988,0.800000012,254,1.659999967,7.099999905,100,1028,33,0
12,43.520957,-5.690707,11/7/2021,3,1,2.299999952,3,24,28,5,120,22,0.5,0.699999988,1.299999952,253,2.059999943,7.400000095,100,1029,33,0
